,id,x,y,b,p,sec,milli
20,170,2105,1453,3,0,0,600
21,171,2105,1453,3,0,0,605
22,172,2105,1453,3,0,0,611
23,173,2105,1453,3,0,0,617
24,174,2100,1431,3,0,0,624
25,175,2100,1431,3,0,0,630
26,176,2100,1431,3,0,0,637
27,177,2100,1431,3,0,0,643
28,178,2100,1431,3,0,0,649
29,179,2086,1415,3,0,0,655
30,180,2086,1415,3,0,0,662
31,181,2086,1415,3,0,0,668
32,182,2086,1415,3,0,0,674
33,183,2086,1415,3,0,0,679
34,184,2060,1404,3,0,0,686
35,185,2036,1398,3,0,0,692
36,186,2016,1394,3,0,0,699
37,187,1997,1393,3,0,0,707
38,188,1997,1393,3,0,0,714
39,189,1977,1395,3,0,0,721
40,190,1977,1395,3,0,0,727
41,191,1959,1399,3,0,0,735
42,192,1959,1399,3,0,0,742
43,193,1941,1406,3,0,0,747
44,194,1941,1406,3,0,0,757
45,195,1923,1413,3,0,0,762
46,196,1923,1413,3,0,0,767
47,197,1906,1424,3,0,0,776
48,198,1906,1424,3,0,0,786
49,199,1888,1436,3,0,0,794
50,200,1870,1448,3,0,0,800
51,201,1853,1462,3,0,0,807
52,202,1836,1475,3,0,0,814
53,203,1819,1484,3,0,0,820
54,204,1804,1500,3,0,0,827
55,205,1804,1500,3,0,0,832
56,206,1787,1517,3,0,0,841
57,207,1768,1533,3,0,0,847
58,208,1748,1548,3,0,0,854
59,209,1728,1565,3,0,0,860
60,210,1708,1581,3,0,0,867
61,211,1686,1599,3,0,0,875
62,212,1663,1620,3,0,0,884
63,213,1639,1636,3,0,0,890
64,214,1614,1659,3,0,0,896
65,215,1590,1679,3,0,0,903
66,216,1566,1700,3,0,0,909
67,217,1541,1719,3,0,0,918
68,218,1516,1740,3,0,0,924
69,219,1492,1759,3,0,0,940
70,220,1468,1778,3,0,0,946
71,221,1445,1799,3,0,0,954
72,222,1422,1818,3,0,0,960
73,223,1401,1835,3,0,0,969
74,224,1380,1852,3,0,0,975
75,225,1359,1870,3,0,0,983
76,226,1338,1895,3,0,0,990
77,227,1318,1914,3,0,0,996
78,228,1300,1936,3,0,1,2
